project_id,start_date,end_date,planned_duration_days,actual_duration_days,team_size,num_bugs,num_change_requests,delivery_delay_days,budget_overrun_pct,predicted_risk
P45016,2023-07-02,2023-08-09,65,38,25,94,8,-27,0.4,High
P58198,2024-10-26,2025-05-10,164,196,6,35,6,32,0.39,High
P56182,2024-08-13,2025-04-12,239,242,26,4,2,3,-0.02,Low
P35270,2022-07-11,2022-10-08,110,89,7,0,7,-21,0.07,Low
P27202,2021-09-20,2022-04-27,170,219,7,64,13,49,0.52,High
P36566,2022-08-28,2023-02-06,178,162,26,2,14,-16,0.05,High
P44478,2023-06-13,2023-08-19,76,67,29,3,19,-9,-0.03,High
P27099,2021-09-16,2021-12-31,61,106,6,95,13,45,0.28,High
P57776,2024-10-10,2025-03-13,163,154,24,22,17,-9,0.3,High
P35788,2022-07-30,2022-11-23,64,116,19,61,5,52,0.19,High
P56758,2024-09-03,2024-12-10,65,98,18,0,9,33,0.34,High
P28372,2021-11-01,2022-04-28,150,178,15,90,4,28,-0.05,Medium
P28718,2021-11-14,2022-05-07,193,174,13,37,9,-19,0.32,High
P48393,2023-11-03,2024-05-25,148,204,10,81,17,56,-0.08,High
P30499,2022-01-18,2022-07-20,171,183,29,29,7,12,0.51,High
P35423,2022-07-17,2023-01-22,152,189,14,74,12,37,0.02,High
P30160,2022-01-06,2022-08-29,186,235,29,22,3,49,0.15,High
P29336,2021-12-07,2022-05-11,112,155,23,32,12,43,0.56,High
P15573,2020-07-22,2021-03-08,194,229,7,18,1,35,0.35,High
P23978,2021-05-25,2021-12-07,161,196,13,31,8,35,0.53,High
P51848,2024-03-08,2024-09-04,182,180,19,85,2,-2,0.58,High
P47500,2023-10-01,2024-03-17,173,168,18,51,18,-5,-0.08,High
P31104,2022-02-09,2022-06-03,114,114,17,37,2,0,0.1,Low
P54947,2024-06-29,2024-12-22,122,176,6,69,5,54,0.29,High
P57936,2024-10-16,2025-01-29,101,105,27,56,6,4,0.47,High
P25862,2021-08-02,2022-03-07,214,217,8,84,17,3,0.09,High
P20659,2021-01-24,2021-06-30,144,157,27,56,13,13,-0.07,High
P39186,2022-12-01,2023-02-10,68,71,29,71,5,3,0.3,High
P30012,2021-12-31,2022-09-06,230,249,27,56,8,19,0.35,High
P26908,2021-09-09,2022-03-19,203,191,28,15,10,-12,0.31,High
P44931,2023-06-29,2024-02-25,225,241,7,45,17,16,0.56,High
P27271,2021-09-22,2021-11-11,64,50,21,14,0,-14,0.34,High
P49378,2023-12-09,2024-06-05,130,179,23,22,3,49,0.22,High
P28522,2021-11-07,2022-04-06,158,150,28,4,10,-8,0.01,Low
P31583,2022-02-27,2022-09-26,208,211,20,78,7,3,0.59,High
P26218,2021-08-15,2022-04-08,196,236,7,2,18,40,0.49,High
P10386,2020-01-15,2020-07-12,184,179,29,22,6,-5,0.13,Medium
P29733,2021-12-21,2022-04-08,110,108,6,66,6,-2,-0.03,Low
P11371,2020-02-20,2020-09-20,207,213,25,55,16,6,0.28,High
P41276,2023-02-16,2023-10-09,198,235,5,4,19,37,0.02,High
P17077,2020-09-15,2021-01-29,110,136,29,17,10,26,0.15,Medium
P28294,2021-10-30,2022-05-18,145,200,5,1,0,55,0.37,High
P28377,2021-11-02,2022-01-11,60,70,18,4,18,10,0.55,High
P14891,2020-06-27,2020-12-29,169,185,14,29,17,16,0.38,High
P26356,2021-08-20,2022-01-15,154,148,13,39,11,-6,0.37,High
P11315,2020-02-18,2020-10-10,187,235,19,85,8,48,0.31,High
P19330,2020-12-06,2021-06-10,178,186,26,22,2,8,0.03,Low
P39267,2022-12-04,2023-05-15,113,162,16,94,5,49,0.38,High
P27342,2021-09-25,2022-04-23,162,210,19,28,9,48,0.1,High
P12049,2020-03-15,2020-06-05,112,82,8,49,5,-30,0.05,Low
P16086,2020-08-10,2020-10-30,77,81,12,60,14,4,0.25,High
P48696,2023-11-14,2024-03-10,127,117,28,19,3,-10,0.45,High
P11374,2020-02-20,2020-09-18,213,211,15,69,7,-2,0.38,High
P41335,2023-02-18,2023-10-23,219,247,16,25,4,28,-0.03,Medium
P31536,2022-02-25,2022-10-08,166,225,13,74,0,59,0.57,High
P58589,2024-11-09,2025-01-12,77,64,23,6,13,-13,0.11,High
P50340,2024-01-13,2024-06-18,146,157,25,35,17,11,0.45,High
P50659,2024-01-24,2024-06-05,90,133,27,74,19,43,0.39,High
P11868,2020-03-09,2020-10-05,155,210,17,92,6,55,0.29,High
P51888,2024-03-09,2024-10-21,169,226,12,32,10,57,0.45,High
P24823,2021-06-25,2021-10-15,109,112,17,27,10,3,0.3,High
P47457,2023-09-29,2024-05-19,220,233,22,86,11,13,0.42,High
P35296,2022-07-12,2022-09-17,87,67,20,50,4,-20,0.53,High
P44477,2023-06-13,2023-10-09,134,118,26,39,12,-16,-0.05,High
P24816,2021-06-25,2021-10-11,62,108,14,80,11,46,0.32,High
P45387,2023-07-16,2023-12-13,99,150,11,13,4,51,0.25,High
P22903,2021-04-16,2021-08-10,111,116,6,79,9,5,0.07,Low
P55014,2024-07-01,2025-02-20,209,234,13,34,19,25,0.51,High
P54140,2024-05-31,2024-09-26,105,118,11,18,8,13,0.59,High
P57409,2024-09-27,2025-05-23,222,238,8,29,8,16,0.34,High
P38811,2022-11-18,2023-01-23,73,66,12,3,17,-7,0.28,High
P30983,2022-02-05,2022-04-25,109,79,5,15,18,-30,0.27,High
P55127,2024-07-06,2024-12-21,180,168,29,42,7,-12,0.23,High
P58529,2024-11-07,2025-02-15,94,100,20,67,1,6,-0.01,Low
P22645,2021-04-06,2021-08-29,127,145,10,29,6,18,0.07,Medium
P24213,2021-06-03,2021-11-13,131,163,27,31,9,32,0.54,High
P41331,2023-02-18,2023-11-07,213,262,11,16,7,49,0.0,High
P36993,2022-09-12,2023-01-19,78,129,28,59,0,51,0.47,High
P47185,2023-09-20,2024-01-29,115,131,6,88,10,16,0.39,High
P29242,2021-12-03,2022-05-30,191,178,29,10,2,-13,0.55,High
P39553,2022-12-15,2023-08-30,205,258,16,44,11,53,0.17,High
P14651,2020-06-18,2021-02-21,190,248,25,14,8,58,0.13,High
P44546,2023-06-15,2023-12-23,180,191,20,34,12,11,0.38,High
P31051,2022-02-07,2022-08-04,199,178,12,1,16,-21,0.18,High
P59670,2024-12-18,2025-08-24,218,249,21,99,8,31,0.57,High
P20806,2021-01-29,2021-06-27,100,149,6,16,5,49,0.03,High
P22722,2021-04-09,2021-10-21,161,195,9,49,8,34,0.3,High
P35443,2022-07-18,2023-03-21,223,246,25,86,9,23,0.56,High
P55650,2024-07-25,2024-11-20,143,118,14,28,8,-25,0.24,High
P11609,2020-02-28,2020-11-03,228,249,14,31,11,21,0.49,High
P46403,2023-08-22,2024-03-07,208,198,16,78,11,-10,0.32,High
P36994,2022-09-12,2023-05-09,199,239,27,93,19,40,0.47,High
P57401,2024-09-27,2024-11-26,70,60,25,18,1,-10,0.41,High
P58283,2024-10-29,2025-07-18,204,262,15,29,16,58,0.45,High
P33815,2022-05-19,2022-12-27,217,222,23,49,7,5,-0.03,Low
P10806,2020-01-30,2020-08-07,191,190,9,81,10,-1,0.56,High
P55607,2024-07-23,2025-04-11,226,262,12,87,4,36,0.15,High
P34099,2022-05-30,2022-10-26,107,149,13,89,8,42,0.56,High
P36690,2022-09-01,2022-12-31,66,121,6,45,14,55,0.41,High
P48736,2023-11-15,2024-06-13,183,211,12,7,13,28,0.23,High
P25668,2021-07-26,2021-11-19,74,116,18,68,5,42,-0.05,High
P17135,2020-09-17,2021-02-06,165,142,23,64,0,-23,0.31,High
P52744,2024-04-10,2024-10-29,221,202,25,74,11,-19,0.05,High
P30768,2022-01-28,2022-08-06,161,190,21,71,6,29,0.39,High
P25526,2021-07-21,2022-02-08,223,202,9,31,12,-21,0.15,High
P20277,2021-01-10,2021-07-25,198,196,9,31,9,-2,-0.06,Low
P29197,2021-12-02,2022-06-07,204,187,20,18,18,-17,0.03,High
P11135,2020-02-11,2020-07-02,160,142,27,63,2,-18,0.55,High
P40183,2023-01-07,2023-05-01,120,114,15,11,10,-6,0.13,Medium
P39697,2022-12-20,2023-07-06,147,198,13,70,19,51,0.22,High
P46842,2023-09-07,2024-01-22,94,137,16,28,18,43,0.19,High
P58619,2024-11-10,2025-02-09,66,91,20,11,14,25,0.06,High
P19228,2020-12-03,2021-07-13,166,222,8,94,19,56,0.0,High
P40462,2023-01-17,2023-05-20,82,123,13,90,13,41,0.45,High
