project_id,start_date,end_date,planned_duration_days,actual_duration_days,team_size,num_bugs,num_change_requests,delivery_delay_days,budget_overrun_pct,predicted_risk
P50592,2024-01-22,2024-10-10,233,262,20,89,19,29,-0.07,High
P14437,2020-06-11,2021-03-02,239,264,16,41,14,25,-0.08,High
P50648,2024-01-24,2024-05-18,83,115,21,71,7,32,0.23,High
P41505,2023-02-24,2023-10-30,225,248,20,0,1,23,0.1,Medium
P18644,2020-11-11,2021-04-21,131,161,9,4,17,30,0.2,High
P13286,2020-04-30,2020-08-31,135,123,19,51,4,-12,0.24,High
P45847,2023-08-02,2024-02-23,224,205,25,35,16,-19,0.23,High
P39696,2022-12-20,2023-06-18,141,180,21,1,19,39,0.5,High
P42887,2023-04-16,2023-10-17,178,184,16,73,7,6,-0.08,Low
P24290,2021-06-05,2021-09-23,140,110,19,28,10,-30,-0.07,Low
P20074,2021-01-02,2021-08-21,196,231,29,43,6,35,0.37,High
P54339,2024-06-07,2024-12-16,158,192,24,31,8,34,0.28,High
P14833,2020-06-25,2020-10-15,136,112,23,66,18,-24,0.06,High
P35537,2022-07-21,2022-12-11,160,143,17,54,16,-17,0.45,High
P30599,2022-01-22,2022-08-18,195,208,25,56,5,13,0.49,High
P24510,2021-06-13,2022-01-07,165,208,12,46,6,43,0.49,High
P23741,2021-05-16,2022-01-06,211,235,28,61,16,24,0.35,High
P11650,2020-03-01,2020-06-22,122,113,5,20,1,-9,0.56,High
P36556,2022-08-27,2022-12-06,102,101,13,12,5,-1,-0.08,Low
P28340,2021-10-31,2022-03-06,153,126,17,11,7,-27,0.17,Medium
P53239,2024-04-28,2024-07-28,85,91,5,81,15,6,-0.03,High
P51036,2024-02-07,2024-07-08,176,152,28,31,8,-24,0.04,Low
P46636,2023-08-30,2024-02-17,136,171,5,25,17,35,0.33,High
P48581,2023-11-10,2024-02-06,102,88,17,13,19,-14,0.01,High
P48286,2023-10-30,2024-03-23,107,145,15,2,10,38,0.19,High
P23725,2021-05-16,2021-10-15,110,152,19,64,6,42,0.46,High
P34263,2022-06-05,2022-11-29,206,177,21,43,19,-29,0.56,High
P14469,2020-06-12,2020-12-03,150,174,24,32,10,24,0.46,High
P58900,2024-11-20,2025-05-13,162,174,5,0,14,12,0.48,High
P59502,2024-12-12,2025-06-12,125,182,19,35,7,57,0.5,High
P55253,2024-07-10,2025-02-06,222,211,18,48,4,-11,0.35,High
P13582,2020-05-10,2020-12-31,228,235,9,42,2,7,0.45,High
P42148,2023-03-20,2023-06-05,91,77,19,66,4,-14,-0.06,Low
P48087,2023-10-22,2024-04-16,141,177,17,69,16,36,0.38,High
P25531,2021-07-21,2022-01-19,196,182,18,75,11,-14,0.13,High
P13865,2020-05-21,2020-10-13,110,145,17,70,13,35,0.38,High
P16957,2020-09-11,2021-03-17,191,187,5,5,18,-4,-0.05,High
P12559,2020-04-03,2020-09-06,163,156,10,59,14,-7,0.03,High
P28574,2021-11-09,2022-05-04,205,176,20,94,12,-29,0.13,High
P25583,2021-07-23,2022-02-18,208,210,13,72,9,2,0.57,High
P44620,2023-06-18,2023-08-26,67,69,18,15,15,2,0.27,High
P18637,2020-11-11,2021-05-29,141,199,24,97,6,58,0.18,High
P35794,2022-07-31,2022-10-07,94,68,8,81,11,-26,0.58,High
P55184,2024-07-08,2025-01-02,206,178,14,17,7,-28,0.27,High
P25108,2021-07-05,2021-12-29,151,177,22,86,17,26,-0.02,High
P57754,2024-10-10,2025-01-09,76,91,11,9,6,15,0.59,High
P13606,2020-05-11,2021-01-06,195,240,7,99,16,45,0.48,High
P52353,2024-03-26,2024-08-20,104,147,24,18,0,43,0.13,High
P11468,2020-02-23,2020-09-27,217,217,12,23,5,0,0.11,Medium
P28942,2021-11-22,2022-03-02,123,100,24,42,6,-23,0.14,Medium
P16724,2020-09-02,2021-03-10,165,189,16,55,9,24,0.51,High
P56295,2024-08-17,2025-02-07,193,174,6,60,14,-19,0.47,High
P54362,2024-06-08,2024-12-12,128,187,22,1,13,59,0.11,High
P34774,2022-06-23,2022-10-20,119,119,12,25,17,0,0.44,High
P21506,2021-02-24,2021-06-25,148,121,27,65,6,-27,-0.02,Low
P45518,2023-07-21,2023-12-24,153,156,5,23,9,3,0.3,High
P27654,2021-10-06,2022-05-15,182,221,18,2,19,39,0.37,High
P31423,2022-02-21,2022-07-12,115,141,5,36,8,26,-0.06,Medium
P19520,2020-12-13,2021-10-02,235,293,13,8,15,58,0.34,High
P27229,2021-09-21,2022-04-22,164,213,7,44,16,49,0.44,High
P13512,2020-05-08,2020-11-01,123,177,23,49,11,54,0.52,High
P15543,2020-07-21,2020-12-20,132,152,16,23,6,20,0.26,High
P23539,2021-05-09,2021-11-08,165,183,8,37,3,18,0.47,High
P42846,2023-04-14,2023-09-26,121,165,9,88,7,44,-0.05,High
P41809,2023-03-07,2023-09-19,217,196,20,29,8,-21,0.44,High
P18541,2020-11-07,2021-01-13,83,67,26,6,7,-16,0.01,Low
P49483,2023-12-12,2024-09-12,224,275,29,89,5,51,0.04,High
P30159,2022-01-06,2022-10-05,231,272,28,99,12,41,0.43,High
P11161,2020-02-12,2020-06-01,97,110,14,34,8,13,0.28,High
P44008,2023-05-26,2023-09-12,136,109,27,38,16,-27,0.17,High
P41823,2023-03-08,2023-10-01,172,207,27,96,11,35,-0.1,High
P51468,2024-02-23,2024-07-20,160,148,8,99,7,-12,-0.02,Low
P35571,2022-07-22,2023-02-03,164,196,5,49,9,32,0.01,High
P46560,2023-08-28,2024-02-26,136,182,27,98,6,46,0.4,High
P54398,2024-06-09,2024-09-19,85,102,6,18,4,17,-0.0,Medium
P14378,2020-06-08,2021-02-16,208,253,19,86,14,45,0.51,High
P11252,2020-02-15,2020-06-13,137,119,18,52,15,-18,-0.09,High
P31009,2022-02-06,2022-09-11,226,217,8,46,11,-9,0.46,High
P49829,2023-12-25,2024-08-03,197,222,21,54,6,25,0.34,High
P47852,2023-10-14,2023-12-27,102,74,22,66,10,-28,0.31,High
P45992,2023-08-07,2024-05-13,221,280,6,54,8,59,0.17,High
P36449,2022-08-23,2023-04-25,196,245,25,86,0,49,0.3,High
P38859,2022-11-19,2023-07-06,237,229,22,54,18,-8,0.43,High
P37926,2022-10-16,2023-02-18,112,125,19,80,11,13,0.4,High
P23291,2021-04-30,2021-11-05,210,189,17,79,9,-21,0.42,High
P25772,2021-07-30,2022-02-28,231,213,8,12,19,-18,-0.1,High
P43653,2023-05-14,2024-01-04,213,235,7,93,10,22,0.05,Medium
P26947,2021-09-10,2022-01-03,143,115,14,78,0,-28,0.06,Low
P33053,2022-04-21,2022-11-08,182,201,15,54,11,19,0.59,High
P59482,2024-12-12,2025-08-17,200,248,27,29,3,48,0.44,High
P32685,2022-04-08,2022-10-14,150,189,10,51,14,39,0.35,High
P48840,2023-11-19,2024-08-12,215,267,14,90,9,52,0.3,High
P20760,2021-01-27,2021-07-24,137,178,14,62,0,41,0.4,High
P50389,2024-01-15,2024-06-03,99,140,15,82,0,41,0.08,High
P27456,2021-09-29,2022-05-02,234,215,12,84,18,-19,0.44,High
P21805,2021-03-07,2021-08-11,140,157,12,24,17,17,0.32,High
P19734,2020-12-21,2021-07-08,191,199,13,61,15,8,0.15,High
P30902,2022-02-02,2022-06-07,80,125,24,27,10,45,0.55,High
P55145,2024-07-06,2025-01-14,214,192,5,94,19,-22,0.33,High
P33318,2022-05-01,2022-08-26,143,117,8,49,1,-26,0.2,Medium
P37568,2022-10-03,2023-06-18,222,258,15,71,6,36,0.1,High
P31110,2022-02-09,2022-05-26,79,106,11,49,10,27,0.54,High
P40575,2023-01-21,2023-07-09,193,169,19,79,3,-24,0.52,High
P51545,2024-02-26,2024-10-06,207,223,11,47,2,16,0.04,Medium
P29094,2021-11-28,2022-07-20,196,234,6,17,17,38,0.51,High
P21539,2021-02-25,2021-08-10,124,166,26,39,11,42,0.54,High
P33292,2022-04-30,2022-11-18,144,202,6,82,16,58,-0.06,High
P46029,2023-08-08,2023-09-30,66,53,19,99,16,-13,0.55,High
P56558,2024-08-27,2025-03-16,209,201,14,35,1,-8,0.26,High
P36761,2022-09-04,2022-11-21,62,78,28,98,15,16,0.02,High
P29172,2021-12-01,2022-03-09,105,98,17,0,19,-7,0.17,High
P50180,2024-01-07,2024-04-26,83,110,18,40,15,27,0.33,High
P11186,2020-02-13,2020-06-29,164,137,17,24,17,-27,0.46,High
P54085,2024-05-29,2024-07-30,63,62,10,75,2,-1,0.32,High
P31924,2022-03-11,2022-10-04,173,207,9,50,15,34,0.43,High
P18778,2020-11-16,2021-05-09,159,174,21,96,15,15,0.11,High
P22702,2021-04-08,2021-10-19,135,194,16,65,2,59,0.15,High
P58266,2024-10-28,2025-04-19,189,173,18,49,14,-16,0.11,High
P57666,2024-10-06,2025-02-14,122,131,17,19,14,9,0.37,High
P28211,2021-10-27,2022-06-25,202,241,18,26,4,39,0.47,High
P25898,2021-08-03,2022-01-17,126,167,29,87,15,41,0.58,High
P19993,2020-12-30,2021-07-17,203,199,27,64,4,-4,0.09,Low
P55090,2024-07-04,2024-10-25,131,113,23,18,2,-18,0.18,Medium
P42214,2023-03-22,2023-10-27,232,219,22,5,7,-13,0.6,High
P22633,2021-04-06,2021-10-02,154,179,23,45,8,25,0.28,High
P41255,2023-02-15,2023-09-15,190,212,14,36,10,22,0.39,High
P15172,2020-07-07,2020-10-16,61,101,21,63,17,40,0.56,High
P15164,2020-07-07,2020-08-15,67,39,10,50,14,-28,0.52,High
P22097,2021-03-17,2021-06-21,102,96,5,8,3,-6,-0.02,Low
P52699,2024-04-08,2024-06-11,86,64,24,67,0,-22,0.4,High
P17249,2020-09-21,2021-06-10,206,262,23,32,8,56,-0.09,High
P24695,2021-06-20,2021-12-19,191,182,27,79,9,-9,-0.08,Low
P19323,2020-12-06,2021-06-20,143,196,16,37,11,53,-0.09,High
P35808,2022-07-31,2022-12-18,159,140,23,69,17,-19,0.31,High
